corp_code,corp_name,bsns_year,target_label
01494118,노을,2025,0
00417963,바이나믹,2016,0
01088458,극동자동화,2015,0
00532059,그린생명과학,2019,0
00228350,신화인터텍,2018,0
00141413,영화금속,2018,0
00140380,유니온스틸,2017,0
00207436,알에스넷,2016,0
00598587,인터파크,2025,0
00116806,하스코,2023,0
00183215,케이디지엠텍,2016,0
00481454,금호타이어,2024,0
00219097,BGF,2021,0
00238001,블루콤,2015,0
00390365,토비스,2015,0
00863533,삼양엔씨켐,2016,0
00164973,현대해상,2018,0
00869272,서전기전,2018,0
00425254,나우코스,2023,0
00250997,대정화금,2024,0
01138993,원바이오젠,2015,0
01921199,에스테크엠,2023,0
00109824,대림통상,2018,0
00116408,동신건설,2025,0
00787057,휴맥스,2023,0
00186540,코오롱아이넷,2021,0
01367586,제이아이테크,2018,0
00916826,드림씨아이에스,2022,0
01784394,STX그린로지스,2024,0
00124018,부산방직공업,2019,0
00540863,GST,2015,0
00435312,하이스틸,2017,0
01183407,이십일스토어,2021,0
01066030,드림티엔터테인먼트,2020,0
00531014,유진테크,2019,0
00471068,덕산하이메탈,2017,0
00265078,유니텍전자,2018,0
00144650,유신,2020,0
00149655,삼성물산,2016,0
00173698,신일전자,2016,0
00149026,CS홀딩스,2021,0
01167056,샘표식품,2016,0
00162142,동원증권,2020,0
00974927,NEW,2020,0
00261443,NC,2024,0
01217795,엠에프씨,2019,0
00146542,일정실업,2015,0
00267906,베뉴지,2022,0
00461690,세화피앤씨,2023,0
00265342,에이치에스씨홀딩스,2016,0
01601222,씨피시스템,2021,0
01721809,현대그린푸드,2016,0
00269852,폴라리스오피스,2023,0
01954832,유진스팩12호,2019,0
01130849,파라택시스이더리움,2025,0
01357765,큐라티스,2024,0
00244871,케이티프리텔,2020,0
00495633,율촌,2024,0
00103510,인지컨트롤스,2018,0
01702017,유니드비티플러스,2016,0
01063954,수젠텍,2015,0
00302236,태양3C,2025,0
00174305,조인에너지,2018,0
00133511,SG세계물산,2019,0
00311298,오페스,2016,0
00150226,씨앤중공업,2018,0
00297989,오르비텍,2016,0
00534701,세아메카닉스,2021,0
00117337,동양,2019,0
00554468,굿앤리치부동산공경매투자회사2호,2022,0
01671601,카이바이오텍,2025,0
01505469,디비금융제9호기업인수목적,2020,0
00556615,모바일어플라이언스,2017,0
00415628,세진중공업,2020,0
00305668,새론오토모티브,2020,0
00494476,이녹스,2018,0
00983271,NHN,2025,0
00510914,아시아퍼시픽9호선박투자회사,2019,0
00112970,대한방직,2025,0
00535773,엑스씨이,2025,0
00138792,아시아나항공,2016,0
00918222,엘앤케이바이오,2024,0
00441243,형지엘리트,2025,0
00543523,코크렙제7호위탁관리부동산투자회사,2017,0
00165680,호텔신라,2023,0
00351995,지에스이,2018,0
00367604,SM Life Design,2017,0
01059605,디와이파워,2022,0
01108099,현대코퍼레이션홀딩스,2021,0
01910324,교보18호스팩,2019,0
01194689,HD현대마린솔루션,2025,0
00413417,우리손에프앤지,2023,0
00537443,아구스,2018,0
00406046,HD현대마린엔진,2025,0
00247887,아이피에스,2020,0
00990262,피노텍,2015,0
00255044,현대에이치티,2018,0
00174129,제일저축은행,2015,0
00113261,대한광통신,2020,0
00317210,성호전자,2021,0
00529523,동북아11호선박투자회사,2019,0
01234507,매일유업,2016,0
00126478,삼성중공업,2018,0
00175623,ES큐브,2024,0
00161860,한성기업,2020,0
00148540,CJ,2018,0
01136348,나무기술,2025,0
00439053,이룸지엔지,2022,0
00422284,메가스터디,2021,0
00446901,코칩,2025,0
01622331,벨로크,2022,0
00149770,중앙에너비스,2017,0
01631658,대신밸런스제12호기업인수목적,2019,0
00808226,한화에스브이명장제1호기업인수목적,2017,0
00149877,중앙바이오텍,2018,0
00145464,이구산업,2023,0
01309069,타이드,2023,0
01580178,대신밸런스제11호기업인수목적,2019,0
00152631,에이치비이에너지,2024,0
01211232,코윈테크,2021,0
00163673,한진중공업홀딩스,2024,0
01590528,아스테라시스,2021,0
00148443,제일파마홀딩스,2020,0
00120526,롯데쇼핑,2018,0
00103644,비츠로테크,2017,0
00688996,KB금융,2023,0
00195229,미스토홀딩스,2022,0
01186404,디앤씨미디어,2016,0
00177816,대주전자재료,2015,0
00231354,파워넷,2016,0
00560991,맥스브로,2017,0
00161781,아난티,2025,0
00372013,케너텍,2017,0
00101947,브이오산업,2025,0
01406265,와이랩,2021,0
01025644,강스템바이오텍,2024,0
00244455,케이티앤지,2016,0
01114586,셀레믹스,2021,0
01196313,유에스티,2021,0
00647883,하나유비에스암바토비니켈해외자원개발1호,2024,0
00351092,삼보모터스,2022,0
01135640,이삭엔지니어링,2023,0
01765265,동국제강,2019,0
00442631,태양기계,2023,0
01760738,OCI,2015,0
00267809,위더스기술금융,2025,0
00535746,컴투스홀딩스,2016,0
00269241,주연테크,2025,0
01261644,레인보우로보틱스,2023,0
00164876,케이비증권,2019,0
00128980,삼호개발,2025,0
01626391,오가노이드사이언스,2020,0
01632851,아이비케이에스제19호기업인수목적,2016,0
00399694,SOOP,2019,0
01111765,에스엠로보틱스,2021,0
01391103,젝시믹스,2017,0
01510489,프레스티지바이오파마,2022,0
00137997,현대차증권,2015,0
00398792,SNT모티브,2019,0
00334493,씨티앤티,2023,0
00185046,SM C&C,2017,0
00231044,우리기술,2023,0
00102681,고려개발,2016,0
00408585,나이스메탈,2025,0
00129642,상신브레이크,2019,0
01383229,저스템,2025,0
00259916,그로웰텔레콤,2023,0
00484682,엘오티베큠,2024,0
00407975,엔터미디어,2018,0
00140566,한탑,2017,0
00505541,아시아퍼시픽2호선박투자회사,2020,0
00158024,KBI메탈,2017,0
00252375,나노하이텍,2023,0
00132868,우성머티리얼스,2023,0
01238169,오리온,2015,0
00857480,사람인,2024,0
00154718,비츠로셀,2020,0
01157846,바이오포트,2022,0
01302853,아이씨에이치,2015,0
00193328,수산인더스트리,2016,0
00204323,키스트론,2020,0
01038693,드림시큐리티,2019,0
00122472,PKC,2018,0
00641171,인지소프트,2015,0
00411385,유비쿼스홀딩스,2018,0
00533924,이브이첨단소재,2024,0
00318316,대아티아이,2016,0
01958111,메리츠제1호스팩,2016,0
00540304,네이쳐글로벌,2022,0
01685251,컨텍,2016,0
00533678,아시아퍼시픽15호선박투자회사,2023,0
00114303,엘지데이콤,2017,0
01335930,티움바이오,2017,0
01722437,한화갤러리아,2025,0
01385050,넥스트바이오메디컬,2022,0
00694003,중국식품포장유한공사,2023,0
00201742,유라테크,2017,0
00219440,휴맥스홀딩스,2019,0
01506848,비스토스,2023,0
01524507,핀텔,2024,0
01050738,솔트룩스,2021,0
00137058,신일제약,2018,0
00593519,동북아31호선박투자회사,2023,0
00351375,뉴보텍,2018,0
00359030,닉스테크,2019,0
01082418,SAMG엔터,2021,0
00271501,코아시아,2025,0
00326731,바이오니아,2025,0
01204056,하이브,2020,0
00533508,제이엠티,2022,0
00406222,쎄크,2023,0
00164502,현대공업,2022,0
00138376,쎄라텍,2016,0
00130949,카카오엠,2018,0
01109955,링크제니시스,2018,0
00120021,LG,2016,0
00982023,실리콘투,2020,0
00406392,엔에스쇼핑,2015,0
00192499,팜스토리,2024,0
00197324,팬텀엔터테인먼트그룹,2023,0
00654272,램테크놀러지,2018,0
00265157,바이오시스,2024,0
00447928,네오티스,2018,0
00253514,한신코퍼레이션,2015,0
00148993,하이트진로홀딩스,2016,0
00347062,현대바이오랜드,2025,0
00270405,윌텍정보통신,2015,0
00994994,나노,2018,0
00397289,오텍,2016,0
00939942,포시에스,2015,0
00353762,키이스트,2020,0
00245296,폴리플러스,2016,0
01590980,심플랫폼,2023,0
00185301,제이피아이헬스케어,2018,0
00459871,농심홀딩스,2019,0
00144395,동서,2025,0
00252269,아이에이,2022,0
00194372,후야인포넷,2018,0
00102760,두산건설,2023,0
01138595,뱅크웨어글로벌,2017,0
01678312,아이빔테크놀로지,2024,0
00163044,한일약품공업,2024,0
00502474,동북아2호선박투자회사,2022,0
00130383,서부T&D,2018,0
00269339,인네트,2022,0
00264857,아라온테크,2021,0
01658266,하나금융24호기업인수목적,2018,0
00353683,코스모스피엘씨,2016,0
00164609,에이치디현대미포,2016,0
00337296,원포유,2025,0
00117577,오리온홀딩스,2021,0
00129013,CJ씨푸드,2020,0
00208693,나리지*온,2021,0
01708163,엔알비,2021,0
01139965,스튜디오미르,2022,0
00134060,씨앤상선,2015,0
00125743,현대비앤지스틸,2025,0
00240398,무한투자,2025,0
00415868,펩트론,2025,0
00265218,케이엔에스홀딩스,2016,0
01208751,아이에스티이,2015,0
01015160,PS일렉트로닉스,2021,0
00151605,THE CUBE&,2020,0
00533580,아시아퍼시픽10호선박투자회사,2016,0
00134909,소예,2018,0
00164724,현대엘리베이터,2018,0
01060735,로지스몬,2018,0
01535257,엔에이치기업인수목적19호,2023,0
00109310,대동기어,2022,0
00668965,지오엘리먼트,2017,0
00135670,신광기업,2021,0
00332927,제이에스코퍼레이션,2017,0
